Website Data Type,Website Data
Adwords Cost,646.0
Adwords Keywords,1.0
Adwords Traffic,1043.0
Average Visit Duration,169.0
Bounce Rate,0.5039
Category Rank,509.0
Direct,0.4227
Display,0.0009
Mail,0.009899999999999999
Number of Keywords 1-3,365.0
Number of Keywords 3-10,352.0
Organic Cost,28987.0
Organic Keywords,13392.0
Organic Keywords Percentage,0.9831
Organic Search,0.16920000000000002
Organic Traffic,44849.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,4.08
Paid Keywords Percentage,0.0169
Paid Search,0.061200000000000004
Rank,10212.0
Referrals,0.33030000000000004
SERP Features Positions,307.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.005699999999999999
Total Keywords #5,504.0
Total Visits,187000.0
