Website Data Type,Website Data
Adwords Cost,53
Adwords Keywords,3
Adwords Traffic,270
Average Visit Duration,135.0
Bounce Rate,0.6825
Category Rank,1537.0
Direct,0.6145
Display,0.0
Mail,0.0
Number of Keywords 1-3,451
Number of Keywords 3-10,544
Organic Cost,38830
Organic Keywords,8021
Organic Keywords Percentage,
Organic Search,0.06269999999999999
Organic Traffic,36686
PLA Keywords,0
PLA Uniques,0
Pages per Visit,2.29
Paid Keywords Percentage,
Paid Search,0.023399999999999997
Rank,12078
Referrals,0.2994
SERP Features Positions,1227
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0
Total Keywords #5,537.0
Total Visits,27400.0
