Website Data Type,Website Data,SemRush API Data Type: Competitor_1,SemRush API Data: Competitor_1
,,,
,,,
,,,
Category Rank,0.0,Rank,
Total Visits,434.0,Organic Keywords,
Bounce Rate,,Organic Traffic,
Pages per Visit,,Organic Cost,
Average Visit Duration,,Adwords Keywords,
,,Adwords Traffic,
Total Keywords #5,,Adwords Cost,
Organic Keywords Percentage,,PLA Keywords,
Paid Keywords Percentage,,PLA Uniques,
,,SERP Features Positions,
Direct,0.6687000000000001,SERP Features Positions Branded,
Referrals,0.1777,SERP Features Traffic,
Organic Search,0.0993,Number of Keywords 1-3,
Paid Search,0.0347,Number of Keywords 3-10,
Social,0.0044,,
Mail,0.0143,,
Display,0.001,,
