Website Data Type,Website Data,Source
Adwords Cost,0.0,Main
Adwords Keywords,1.0,Main
Adwords Traffic,0.0,Main
Average Visit Duration,0.0,Main
Bounce Rate,1.0,Main
Category Rank,1.0,Main
Direct,0.0,Main
Display,0.0,Main
Mail,0.0,Main
Number of Keywords 1-3,1.0,Main
Number of Keywords 3-10,1.0,Main
Organic Cost,1.0,Main
Organic Keywords,0.0,Main
Organic Keywords Percentage,0.0,Main
Organic Search,0.0,Main
Organic Traffic,0.0,Main
PLA Keywords,0.0,Main
PLA Uniques,0.0,Main
Pages per Visit,0.0,Main
Paid Keywords Percentage,0.0,Main
Paid Search,0.0,Main
Rank,0.0,Main
Referrals,1.0,Main
SERP Features Positions,1.0,Main
SERP Features Positions Branded,0.0,Main
SERP Features Traffic,1.0,Main
Social,0.0,Main
Total Keywords #5,1.0,Main
Total Visits,1.0,Main
